symbol,timestamp_utc,headline
AAPL,2020-06-10 07:33:26 UTC,Tech Stocks And FAANGS Strong Again To Start Day As Market Awaits Fed
AAPL,2020-06-10 04:14:08 UTC,10 Biggest Price Target Changes For Wednesday
AAPL,2020-06-10 03:53:47 UTC,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Jun. 10, 2020: AAPL, BAC, NIO, SONO, GLW"
AAPL,2020-06-10 03:19:25 UTC,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $350"
AAPL,2020-06-10 02:27:11 UTC,"Apple To Let Users Trade In Their Mac Computers For Credit At US, Canada Stores: Report"
AAPL,2020-06-09 20:52:01 UTC,Big Tech Reaches New Record Heights At The Stock Market
AAPL,2020-06-09 11:14:07 UTC,Why Apple's Stock Is Trading Higher Today
AAPL,2020-06-09 09:58:46 UTC,Apple Could Announce In-House Chips For Macs At WWDC: Report
AAPL,2020-06-09 08:41:02 UTC,"Apple shares are trading higher despite market weakness, not currently seeing company-specific news. It was reported the company is expected to begin iPhone 12 production in July."
AAPL,2020-06-09 07:11:34 UTC,"Sonos Shares Spike To Session High, Now Up 9.5%, As Citron's Andrew Left, Currently Interviewing On FOX Business, Said Co. Could Be Acquired By Apple Or Amazon"
AAPL,2020-06-02 00:00:00 UTC,'Apple is tracking iPhones stolen by looters' -Earlier NY Post Article
AAPL,2020-06-02 00:00:00 UTC,MoneyGram Shares Jump 50% As Western Union Reportedly Looks For Acquisition
AAPL,2020-06-02 00:00:00 UTC,"Hearing Susquehanna Check Suggests Total iPhone 12 Builds Tracking To 10M, Below Firm's Expectation Of 25M; Unconfirmed"
AAPL,2020-06-02 00:00:00 UTC,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case
AAPL,2020-06-02 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up; Crude Oil Rises Over 2%
AAPL,2020-06-02 00:00:00 UTC,"Pepper Spray, Books On Racism, 'I Can't Breathe' Merchandise Are Top Sellers On Amazon As Protests Rage"
AAPL,2020-06-01 00:00:00 UTC,Apple Cuts iPhone Prices in China To Push Sales As Country Reopens Economy
AAPL,2020-06-01 00:00:00 UTC,"Gun, Security Stocks Trade Higher After Weekend Protests Turn Violent And Destructive"
AAPL,2020-06-01 00:00:00 UTC,Carter Worth And Mike Khouw's Apple Trade
AAPL,2020-06-01 00:00:00 UTC,"Apple Pays Hacker From India $100,000 For Discovering Serious 'Sign In With Apple' Vulnerability"
AAPL,2020-06-01 00:00:00 UTC,Volume Production of New iPhone Models to Begin in Q3 2020
AAPL,2020-06-01 00:00:00 UTC,"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'"
AAPL,2020-05-31 00:00:00 UTC,"Amazon, Apple, Walmart, Other Retailers Shutter Stores, Scale Back Operations In Areas Worst Hit With Protests"
AAPL,2020-05-31 00:00:00 UTC,"Apple Says With Health and Safety of Its Teams in Mind, Decided to Keep Number of Its Stores in the U.S. Closed on Sunday"
AAPL,2020-05-29 00:00:00 UTC,"Costco Shares Come Under Pressure Despite Strong Earnings, Same-Store Sales"
AAPL,2020-05-28 00:00:00 UTC,Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies
AAPL,2020-05-28 00:00:00 UTC,Costco Earnings On Tap After Close As Investors Mull Strong Toll Brothers Results
AAPL,2020-05-28 00:00:00 UTC,Martin Scorsese's Next Movie Will Be Financed By Apple: Report
AAPL,2020-05-28 00:00:00 UTC,"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple"
AAPL,2020-05-27 00:00:00 UTC,Leidos Awarded $84.6M Payment from VirnetX Lawsuit vs Apple
AAPL,2020-05-27 00:00:00 UTC,The Most Popular Smartphone Model Of Q1
AAPL,2020-05-27 00:00:00 UTC,This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal
AAPL,2020-05-27 00:00:00 UTC,"B of A Securities Maintains Buy on Apple, Raises Price Target to $340"
AAPL,2020-05-27 00:00:00 UTC,3 Apple Analysts Lift Price Targets: Why They're Optimistic On iPhone's Trajectory
AAPL,2020-05-27 00:00:00 UTC,'LG reportedly supplying 20 million OLED panels for 'iPhone 12 Max'' -AppleInsider
AAPL,2020-05-27 00:00:00 UTC,Same Old Leadership Song Lifts These Leveraged ETFs
AAPL,2020-05-27 00:00:00 UTC,"Deutsche Bank Maintains Buy on Apple, Raises Price Target to $320"
AAPL,2020-05-27 00:00:00 UTC,YouTube Makes Its Dedicated Children App Available On Apple TV
AAPL,2020-05-27 00:00:00 UTC,Samsung Display Secures Majority of Panel Orders for Next-gen iPhone
AAPL,2020-05-26 00:00:00 UTC,Study: 34% Of Americans Report Looking Through Their Partner's Phone Without Permission
AAPL,2020-05-26 00:00:00 UTC,Apple To Reopen ~100 More US Stores This Week
AAPL,2020-05-26 00:00:00 UTC,"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week"
AAPL,2020-05-25 00:00:00 UTC,Apple Expected to Incorporate Ambient Light Sensors in Next-generation Airpods Devices
AAPL,2020-05-22 00:00:00 UTC,The Secret to Tech's Resilience to COVID-19- Infrastructure Expansion
AAPL,2020-05-21 00:00:00 UTC,"Apple Is Seeking An Executive To Lead Original Podcast Effort, Is Buying Original Podcasts That Would Be Exclusive; New Podcasts Will Help Promote TV+ Video Service"
AAPL,2020-05-21 00:00:00 UTC,Evercore ISI Analyst Amit DAryanani Says Apple Can Exceed $100 Billion In Services Revenue In The Fiscal Year Ending In September 2024
AAPL,2020-05-21 00:00:00 UTC,Apple Vs. Tesla: Morgan Stanley Breaks Down The Parallels
AAPL,2020-05-21 00:00:00 UTC,"As The Global Economy Weighs Fears Of A Recession, Travel Is Already In A Depression"
AAPL,2020-05-21 00:00:00 UTC,Hearing Evercore ISI Raises Price Target On Apple From $330 To $345
AAPL,2020-05-20 00:00:00 UTC,Apple's Face ID Will Allow Mask Wearing Users To Unlock Their Phones Quickly
AAPL,2020-05-20 00:00:00 UTC,'COVID-19 exposure notification settings begin to go live for iOS users with new update' -TechCrunch
AAPL,2020-05-20 00:00:00 UTC,Facebook Plans To Resume Work In Office In July At 25% Capacity And Safety Measures In Place
AAPL,2020-05-20 00:00:00 UTC,"A Peek Into The Markets: US Stock Futures Climb Ahead Of Earnings, Fed Minutes"
AAPL,2020-05-20 00:00:00 UTC,Why Sony Sold Streaming Rights For Tom Hanks Movie To Apple Instead Of Waiting Out The Pandemic
AAPL,2020-05-20 00:00:00 UTC,Smartphone Sales Picking up in China
AAPL,2020-05-20 00:00:00 UTC,"Apple Looking To Diversify Its Manufacturing Base, Will Make Headphones In Vietnam"
AAPL,2020-05-19 00:00:00 UTC,Telemedicine A COVID-19 Winner
AAPL,2020-05-19 00:00:00 UTC,"Walmart Earnings Look Strong Across the Board, But Home Depot Down After Missing on EPS"
AAPL,2020-05-19 00:00:00 UTC,Sony To Convert Its Financial Subsidiary Into Wholly Owned Unit Through $3.7B Tender Offer
AAPL,2020-05-19 00:00:00 UTC,"'Apple buys older shows for TV+, stepping up Netflix challenge' -Earlier SCMP Report"
AAPL,2020-05-18 00:00:00 UTC,"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today"
AAPL,2020-05-18 00:00:00 UTC,"More Than 25 US Apple Stores To Reopen, 100 Now Open Around The World"
AAPL,2020-05-17 00:00:00 UTC,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More"
AAPL,2020-05-16 00:00:00 UTC,"Ubisoft Sues Apple, Google Over Alibaba's Rainbow Six ""Ripoff"""
AAPL,2020-05-15 00:00:00 UTC,13F From Buffett's Berkshire Shows Maintained Stake In Apple
AAPL,2020-05-15 00:00:00 UTC,US To Block Shipments Of Semiconductors To Huawei: Report
AAPL,2020-05-15 00:00:00 UTC,Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff
AAPL,2020-05-15 00:00:00 UTC,Apple shares are trading lower on reports the company is among those China could retaliate against after the US announced it will block chip shipments from Huawei.
AAPL,2020-05-15 00:00:00 UTC,"China's Global Times Mentions Qualcomm, Cisco, Apple And Boeing As 'four companies named by Chinese sources as possible targets for retaliation amid US moves against China's Huawei'"
AAPL,2020-05-15 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up Ahead Of Economic Reports
AAPL,2020-05-15 00:00:00 UTC,Amazon To Manufacture Face Shields And Sell Them At Cost
AAPL,2020-05-14 00:00:00 UTC,Taiwanese Apple Supplier TSMC To Build $12B US Chip Factory After Months Of Pressure From Trump Administration
AAPL,2020-05-14 00:00:00 UTC,Apple Confirms Acquisition Of Virtual Reality Startup NextVR
AAPL,2020-05-14 00:00:00 UTC,'Apple supplier TSMC is reportedly building an Arizona chip plant' -The Verge
AAPL,2020-05-14 00:00:00 UTC,"'Apple's computerized glasses won't be ready until 2022 'at the earliest,' top analyst says' -CNBC Article"
AAPL,2020-05-14 00:00:00 UTC,The Mixed Sony Effect
AAPL,2020-05-14 00:00:00 UTC,Report: FBI Seizes Sen. Richard Burr's Phone In Investigation Of Coronavirus Stock Sell-Off
AAPL,2020-05-13 00:00:00 UTC,Apple Plans To Bring Employees Back To Office Even As Tech Peers Hold Off
AAPL,2020-05-13 00:00:00 UTC,"Retail Pro Says Giants Like Amazon, Walmart Will Prevail After Coronavirus: 'It's Not Fair'"
AAPL,2020-05-13 00:00:00 UTC,"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition"
AAPL,2020-05-12 00:00:00 UTC,Apple Plans for More Workers to Go Back to Offices Over Months
AAPL,2020-05-12 00:00:00 UTC,"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly"
AAPL,2020-05-12 00:00:00 UTC,"Caution Ahead: Biggest Blue-Chips Seek Change, Innovation Post-COVID-19"
AAPL,2020-05-12 00:00:00 UTC,"Analyst Polishes Apple Price Target On 'Teflon-Like' Services, iPhone 12 Outlook"
AAPL,2020-05-12 00:00:00 UTC,"Wedbush Maintains Outperform on Apple, Raises Price Target to $350"
AAPL,2020-05-12 00:00:00 UTC,Apple Unveils Update To Logic Pro
AAPL,2020-05-12 00:00:00 UTC,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities
AAPL,2020-05-12 00:00:00 UTC,Disney Plans Another Bonds Offering With A Six-Part Deal
AAPL,2020-05-11 00:00:00 UTC,Cruise Line Earnings Later This Week Could Provide Insight On Brutal Quarter For Industry
AAPL,2020-05-11 00:00:00 UTC,"Trump, Intel, TSMC Plan US 'Self-Sufficiency' In Semiconductors As Coronavirus Gives Supply-Chain Scare"
AAPL,2020-05-09 00:00:00 UTC,"Barron's Picks And Pans: Boyd Gaming, Domino's Pizza, Exxon And More"
AAPL,2020-05-08 00:00:00 UTC,Apple Option Alert: May 15 $315 Calls Sweep (52) near the Ask: 354 @ $2.154 vs 6982 OI; Ref=$309.45
AAPL,2020-05-08 00:00:00 UTC,"Apple To Give Masks To Customers Inside Retail Stores, Company To Let Customers Choose Product Pick Up Times Online"
AAPL,2020-05-08 00:00:00 UTC,"Apple Says Social-Distancing Guidelines Will Limit Number Of Customers In Stores, May Create Delays For Walk-In Customers"
AAPL,2020-05-08 00:00:00 UTC,"Apple To Reopen Small Number Of U.S. Stores In Idaho, South Carolina, Alabama And Alaska Starting Next Week; Says It Will Require Customers To Wear Masks, Undergo Temperature Checks Before Entering Stores"
AAPL,2020-05-08 00:00:00 UTC,Apple To Reopen Germany Retail Stores May 11
AAPL,2020-05-08 00:00:00 UTC,"Along With Dramatic Jobs Data, Investors Scrutinize Recent Earnings From Uber, Square"
AAPL,2020-05-08 00:00:00 UTC,Spotify CEO's Apple Barb Backfires As Sonos Points Out The 'Solid Irony'
AAPL,2020-05-06 00:00:00 UTC,"A Low-Cost, FAAMNG-Heavy ETF For May"
AAPL,2020-05-06 00:00:00 UTC,A Recap Of Social Media Earnings
AAPL,2020-05-06 00:00:00 UTC,"GM, Disney, Beyond Meat Results In Focus, With GM And BYND Getting Early Lift"
AAPL,2020-05-06 00:00:00 UTC,'Microsoft is releasing its new AirPods rival after months of delays — and it's even cheaper than expected' -Recent Business Insider Article
AAPL,2020-05-06 00:00:00 UTC,Apple Chassis Maker Catcher Said to be Considering Leaving China to Open Factories in SouthEast Asia
AAPL,2020-05-05 00:00:00 UTC,What Apple's WWDC 2020 Invite Says About This Year's Virtual Presentation
AAPL,2020-05-05 00:00:00 UTC,"Charles Schwab Launches Fractional Shares, The Ability To Gift Stock"
AAPL,2020-05-05 00:00:00 UTC,Apple to Host Virtual Worldwide Developers Conference Beginning June 22
AAPL,2020-05-05 00:00:00 UTC,"Disney, Beyond Meat And Video Game Makers All Set To Report As Firm Tone Continues"
AAPL,2020-05-05 00:00:00 UTC,"Apple Capitalizes On Plunge In Yields, Issues Cheapest Bonds In Years"
AAPL,2020-05-05 00:00:00 UTC,Apple Files Final Pricing Term Sheet For Offering Of $2B 0.750% Notes Due 2023
AAPL,2020-05-04 00:00:00 UTC,Apple And Google Say No To Location Tracking In Coronavirus Contact Tracing Apps
AAPL,2020-05-04 00:00:00 UTC,'Apple raises more than $8 billion in bond offering' -Tweet From CNBC Now
AAPL,2020-05-04 00:00:00 UTC,Apple Grows Smartphone Market Share Even As Overall Market Declines At Record Pace
AAPL,2020-05-04 00:00:00 UTC,"Hearing Apple To Reopen Stores Starting Friday, Region Not Specified"
AAPL,2020-05-04 00:00:00 UTC,"GM, Disney In Focus Along With Friday's Payrolls Data As Stocks Appear Shaky To Start New Week"
AAPL,2020-05-04 00:00:00 UTC,"Apple Announces Updated MacBook Pro Offering 10th Generation Processor For Up To 80% Faster Graphics Performance; Starting At $1,299 And $1,199 For Education"
AAPL,2020-05-04 00:00:00 UTC,Apple Inc Files Prospectus Supplement Related To A Potential Four-Part Notes Offering
AAPL,2020-05-02 00:00:00 UTC,Tim Cook On Warren Buffett: 'I Don't Think There's A Better Teacher'
AAPL,2020-05-01 00:00:00 UTC,"Amazon, Exxon Mobil Earnings Weigh On Market To Start New Month As Caution Steers The Wheel"
AAPL,2020-05-01 00:00:00 UTC,VirnetX Shares Dip; Hearing Judge Has Ordered Retrial Regarding Damages In VirnetX vs Apple VPN On Demand Lawsuit
AAPL,2020-05-01 00:00:00 UTC,"Apple Shows Signs Of Recovery From Coronavirus, Doesn't Shake Bulls With Lack Of Guidance"
AAPL,2020-05-01 00:00:00 UTC,"UPDATE: Raymond James On Apple Notes 'and those who don't buy a phone this year will have a strong incentive to buy one next year, particularly with more complete 5G networks and our belief of a stronger 2021 iPhone feature set'"
AAPL,2020-05-01 00:00:00 UTC,"UPDATE: Raymond James Maintains Outperform On Apple, Raises Target To $340 Notes 'our optimism for the stock is about 2021. We think upgrades to 5G are inevitable'"
AAPL,2020-05-01 00:00:00 UTC,"UPDATE: Morgan Stanley On Apple Notes 'With increased confidence in the 5G iPhone launch and stretched iPhone replacement cycles, Apple remains top pick'"
AAPL,2020-05-01 00:00:00 UTC,"UPDATE: Morgan Stanley Maintains Overweight On Apple, Raises Tgt To $326 Notes 'While Apple pulled guidance, qualitative commentary leads us to raise our F3Q revenue estimate as demand improved in 2H of April and more stores will open before quarter-end'"
AAPL,2020-05-01 00:00:00 UTC,"UPDATE: Cascend Reiterates Buy On Apple, Lowers Target To $325 Notes 'not providing guidance is worrying even as the company performs solidly in a difficult environment"
AAPL,2020-05-01 00:00:00 UTC,"DA Davidson Maintains Buy on Apple, Lowers Price Target to $355"
AAPL,2020-05-01 00:00:00 UTC,"Canaccord Genuity Maintains Buy on Apple, Raises Price Target to $310"
AAPL,2020-05-01 00:00:00 UTC,"Nomura Instinet Maintains Neutral on Apple, Raises Price Target to $250"
AAPL,2020-05-01 00:00:00 UTC,"Disappointment From Amazon, Apple Weighs On Market As Investors Also Consider Energy Earnings"
AAPL,2020-05-01 00:00:00 UTC,"Apple shares are trading lower after the company reported revenue growth, which remained flat year over year."
AAPL,2020-05-01 00:00:00 UTC,"UBS Maintains Buy on Apple, Raises Price Target to $325"
AAPL,2020-05-01 00:00:00 UTC,10 Biggest Price Target Changes For Friday
AAPL,2020-05-01 00:00:00 UTC,"B of A Securities Reiterates Buy on Apple, Raises Price Target to $320"
AAPL,2020-05-01 00:00:00 UTC,"Raymond James Maintains Outperform on Apple, Raises Price Target to $340"
AAPL,2020-05-01 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Apple, Raises Price Target to $326"
AAPL,2020-05-01 00:00:00 UTC,32 Stocks Moving in Friday's Pre-Market Session
AAPL,2020-05-01 00:00:00 UTC,"JP Morgan Maintains Overweight on Apple, Raises Price Target to $350"
AAPL,2020-05-01 00:00:00 UTC,"Piper Sandler Maintains Overweight on Apple, Raises Price Target to $310"
AAPL,2020-05-01 00:00:00 UTC,"Cascend Maintains Buy on Apple, Lowers Price Target to $325"
AAPL,2020-05-01 00:00:00 UTC,Hearing JP Morgan Added Apple Shares To Its Bullish 'Focus List'
AAPL,2020-05-01 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Point To A Lower Open
AAPL,2020-05-01 00:00:00 UTC,"Apple, Huawei Each Captured a Higher Share of China's Smartphone Market in Q1, Says Canalys"
AAPL,2020-05-01 00:00:00 UTC,"8 Stocks To Watch For May 1, 2020"
AAPL,2020-05-01 00:00:00 UTC,Apple Increased Smartphone Market Share In China In Q1 During Pandemic: Report
AAPL,2020-05-01 00:00:00 UTC,"Apple Has 'Better Days Ahead,' Analysts Say After Q1 Earnings Beat"
AAPL,2020-04-30 00:00:00 UTC,TikTok Considers Launching Reality TV Show
AAPL,2020-04-30 00:00:00 UTC,Apple CEO Tim Cook: Store Traffic Not Back To Pre-COVID-19 Levels In China
AAPL,2020-04-30 00:00:00 UTC,Apple CFO Says Advertising Also To Be Affected By June Quarter
AAPL,2020-04-30 00:00:00 UTC,Apple CFO Says Apple Care And Advertising Will Be Affected In June Quarter
AAPL,2020-04-30 00:00:00 UTC,"Apple CFO Expects Digital Services To Continue To Grow At Same Level Of Performance Seen In Mar., Qtr.; Says Expects Apple Care To Be Impacted During Jun. Qtr."
AAPL,2020-04-30 00:00:00 UTC,"Apple CEO Tim Cook Says Austria, Australia Apple Stores To Reopen In 1 To 2 Weeks"
AAPL,2020-04-30 00:00:00 UTC,"Apple CEO, On TV+, Says Have Seen A Significant Uptick In Number Of People Who Are Viewing The Content As Well As The Engagement With Content"
AAPL,2020-04-30 00:00:00 UTC,Apple CEO Tim Cook Sees Remote Work Sector Accelerating
AAPL,2020-04-30 00:00:00 UTC,Apple CEO: Our Products Are Even More Important In 'These Times'
