symbol,date,score,n_headlines
AAPL,2020-03-09,-0.36533824,3
AAPL,2020-03-10,-0.3781804,8
AAPL,2020-03-11,-0.2627669,14
AAPL,2020-03-12,-0.24329734,5
AAPL,2020-03-13,0.097736605,11
AAPL,2020-03-16,-0.40201083,17
AAPL,2020-03-17,-0.13387376,12
AAPL,2020-03-18,-0.050103765,4
AAPL,2020-03-19,0.14884433,2
AAPL,2020-03-20,0.103756875,2
AAPL,2020-03-23,-0.102611125,9
AAPL,2020-03-24,0.11888546,7
AAPL,2020-03-25,0.19765185,12
AAPL,2020-03-26,0.100509055,1
AAPL,2020-03-27,0.08933433,12
AAPL,2020-03-30,-0.18342896,6
AAPL,2020-03-31,0.15861832,5
AAPL,2020-04-01,-0.48704833,7
AAPL,2020-04-02,0.121386185,4
AAPL,2020-04-03,-0.44800705,5
AAPL,2020-04-06,0.27039063,8
AAPL,2020-04-07,0.4800595,2
AAPL,2020-04-08,0.14252047,10
AAPL,2020-04-09,0.23544411,5
AAPL,2020-04-13,-0.012386844,8
AAPL,2020-04-14,0.29453495,5
AAPL,2020-04-15,0.40097418,6
AAPL,2020-04-16,0.34100592,8
AAPL,2020-04-17,-0.009265989,10
AAPL,2020-04-20,0.13202414,6
AAPL,2020-04-21,0.06692725,6
AAPL,2020-04-22,0.42344034,4
AAPL,2020-04-23,-0.34660217,6
AAPL,2020-04-24,-0.12542497,6
AAPL,2020-04-27,-0.091071054,18
AAPL,2020-04-28,-0.12059692,2
AAPL,2020-04-29,0.61354053,4
AAPL,2020-04-30,0.101271614,36
AAPL,2020-05-01,0.2922635,28
AAPL,2020-05-04,0.14937276,8
AAPL,2020-05-05,0.08985338,6
AAPL,2020-05-06,0.24594517,5
AAPL,2020-05-08,-0.27169284,7
AAPL,2020-05-11,0.08851049,3
AAPL,2020-05-12,0.17205332,8
AAPL,2020-05-13,0.25586078,3
AAPL,2020-05-14,0.07169507,6
AAPL,2020-05-15,-0.35318062,7
AAPL,2020-05-18,-0.04885575,4
AAPL,2020-05-19,-0.092300326,4
AAPL,2020-05-20,0.42644694,7
AAPL,2020-05-21,0.004607022,5
AAPL,2020-05-22,0.19820431,1
AAPL,2020-05-26,0.4572525,4
AAPL,2020-05-27,0.3515565,11
AAPL,2020-05-28,-0.08951202,12
