,port_ret
2022-01-04,0.0021917103
2022-01-05,-0.011128806
2022-01-06,-0.0026154148
2022-01-07,0.00046535835
2022-01-10,-0.002678398
2022-01-11,0.0047747507
2022-01-12,0.001144227
2022-01-13,-0.011219735
2022-01-14,-0.006850462
2022-01-18,-0.015812904
2022-01-19,-0.0066788346
2022-01-20,-0.008139758
2022-01-21,-0.013346636
2022-01-24,9.747091e-05
2022-01-25,-0.004969932
2022-01-26,-0.0014155381
2022-01-27,-0.002111355
2022-01-28,0.012588514
2022-01-31,0.014505246
2022-02-01,0.01407318
2022-02-02,0.0099302875
2022-02-03,-0.016782857
2022-02-04,0.002155726
2022-02-07,-0.00143209
2022-02-08,0.0011653592
2022-02-09,0.008506434
2022-02-10,-0.011604141
2022-02-11,-0.015413276
2022-02-14,-0.0012604888
2022-02-15,0.010977421
2022-02-16,-0.00016365739
2022-02-17,-0.012579277
2022-02-18,-0.0061308644
2022-02-22,-0.011497717
2022-02-23,-0.014925232
2022-02-24,0.0043623946
2022-02-25,0.023772871
2022-02-28,-0.005092972
2022-03-01,-0.012618053
2022-03-02,0.016602749
2022-03-03,0.0003053802
2022-03-04,-0.0025568062
2022-03-07,-0.022576904
2022-03-08,-0.006205167
2022-03-09,0.021557916
2022-03-10,-0.00023075647
2022-03-11,-0.008544556
2022-03-14,-0.0036970275
2022-03-15,0.017573632
2022-03-16,0.015538274
2022-03-17,0.010325656
2022-03-18,0.0050955024
2022-03-21,-0.001247656
2022-03-22,0.00838133
2022-03-23,-0.010027198
2022-03-24,0.010423201
2022-03-25,0.0048660655
2022-03-28,0.0038536722
2022-03-29,0.0072553265
2022-03-30,-0.003130255
2022-03-31,-0.015348803
2022-04-01,0.004232863
2022-04-04,0.0036665546
2022-04-05,-0.0067470497
2022-04-06,-0.0010287856
2022-04-07,0.004209966
2022-04-08,0.0009262026
2022-04-11,-0.014943642
2022-04-12,-0.0044791033
2022-04-13,0.008333953
2022-04-14,-0.0060354616
2022-04-18,-0.0019162013
2022-04-19,0.012260538
2022-04-20,0.0032975955
2022-04-21,-0.014424394
2022-04-22,-0.028766014
2022-04-25,0.006846618
2022-04-26,-0.020586397
2022-04-27,-0.0010601854
2022-04-28,0.022324273
2022-04-29,-0.029889207
2022-05-02,0.0062550553
2022-05-03,0.0049593556
2022-05-04,0.027477972
2022-05-05,-0.027977515
2022-05-06,-0.00028003228
2022-05-09,-0.022476979
2022-05-10,0.0003569256
2022-05-11,-0.009461267
2022-05-12,0.00039600485
2022-05-13,0.018572439
2022-05-16,0.0015627617
2022-05-17,0.012143919
2022-05-18,-0.035378486
2022-05-19,-0.0055337357
2022-05-20,0.005199755
2022-05-23,0.0171249
2022-05-24,0.00024805998
2022-05-25,0.0062109954
2022-05-26,0.014233262
2022-05-27,0.017863953
2022-05-31,-0.0050220857
2022-06-01,-0.0070261895
2022-06-02,0.015563467
2022-06-03,-0.009545651
2022-06-06,0.0034192423
2022-06-07,0.004165393
2022-06-08,-0.0096939765
2022-06-09,-0.019458214
2022-06-10,-0.02559797
2022-06-13,-0.03056263
2022-06-14,-0.0037493543
2022-06-15,0.012274912
2022-06-16,-0.024373163
2022-06-17,-0.0039321496
2022-06-21,0.02536037
2022-06-22,-0.0039456175
2022-06-23,0.008949417
2022-06-24,0.02451721
2022-06-27,-0.0040134313
2022-06-28,-0.020815492
2022-06-29,-0.0006041477
2022-06-30,-0.0057213856
2022-07-01,0.010598821
2022-07-05,0.0006521618
2022-07-06,0.0030079442
2022-07-07,0.013943712
2022-07-08,-0.0019760674
2022-07-11,-0.008605987
2022-07-12,-0.007835519
2022-07-13,-0.0030521688
2022-07-14,-0.0042714635
2022-07-15,0.017947668
2022-07-18,-0.0075528775
2022-07-19,0.024977421
2022-07-20,0.0021298393
2022-07-21,0.0069068824
2022-07-22,-0.007673526
2022-07-25,0.0011586458
2022-07-26,-0.013867421
2022-07-27,0.019591669
2022-07-28,0.013451887
2022-07-29,0.011858865
2022-08-01,-0.00015469758
2022-08-02,-0.010128765
2022-08-03,0.00890029
2022-08-04,-0.004036584
2022-08-05,0.0012558551
2022-08-08,-0.0010061217
2022-08-09,-0.0005984324
2022-08-10,0.016749915
2022-08-11,0.00055043184
2022-08-12,0.016748102
2022-08-15,0.004739433
2022-08-16,0.007063706
2022-08-17,-0.00601465
2022-08-18,-0.0005725064
2022-08-19,-0.009589845
2022-08-22,-0.017087145
2022-08-23,-0.004025
2022-08-24,0.0002539432
2022-08-25,0.012416081
2022-08-26,-0.02883868
2022-08-29,-0.006073672
2022-08-30,-0.009876625
2022-08-31,-0.008394593
2022-09-01,0.0027214559
2022-09-02,-0.009921045
2022-09-06,-0.004972976
2022-09-07,0.012662135
2022-09-08,0.0063502262
2022-09-09,0.012960386
2022-09-12,0.0076337587
2022-09-13,-0.03607622
2022-09-14,-0.00016167322
2022-09-15,-0.01051442
2022-09-16,-0.0046663606
2022-09-19,0.0074802763
2022-09-20,-0.013923999
2022-09-21,-0.016670607
2022-09-22,-0.0066951504
2022-09-23,-0.017409572
2022-09-26,-0.012386158
2022-09-27,-0.0037352329
2022-09-28,0.019718697
2022-09-29,-0.018088983
2022-09-30,-0.017858613
2022-10-03,0.026550403
2022-10-04,0.029624054
2022-10-05,-0.0017697052
2022-10-06,-0.011762803
2022-10-07,-0.02494606
2022-10-10,-0.005246906
2022-10-11,-0.0062418436
2022-10-12,-0.0010505484
2022-10-13,0.02631628
2022-10-14,-0.018871535
2022-10-17,0.028724521
2022-10-18,0.011700263
2022-10-19,-0.007946562
2022-10-20,-0.0068510785
2022-10-21,0.021441815
2022-10-24,0.011380125
2022-10-25,0.01608148
2022-10-26,-0.004800571
2022-10-27,0.0009955518
2022-10-28,0.023552509
2022-10-31,-0.0063940054
2022-11-01,-0.0025783158
2022-11-02,-0.016721442
2022-11-03,-0.0034923067
2022-11-04,0.013252587
2022-11-07,0.0072676255
2022-11-08,0.0056681703
2022-11-09,-0.019503927
2022-11-10,0.04480659
2022-11-11,0.0055989414
2022-11-14,-0.006123884
2022-11-15,0.007059222
2022-11-16,-0.001869456
2022-11-17,-0.003997525
2022-11-18,0.0043376167
2022-11-21,0.0006224517
2022-11-22,0.013021262
2022-11-23,0.005312094
2022-11-25,0.0014221865
2022-11-28,-0.01278535
2022-11-29,-0.002907812
2022-11-30,0.024213571
2022-12-01,-0.0002602581
2022-12-02,-0.00050808256
2022-12-05,-0.015549105
2022-12-06,-0.014289249
2022-12-07,0.00065170653
2022-12-08,0.010412873
2022-12-09,-0.009162594
2022-12-12,0.015884876
2022-12-13,0.009065127
2022-12-14,-0.0030394732
2022-12-15,-0.020053895
2022-12-16,-0.0118698785
2022-12-19,-0.0071731005
2022-12-20,0.0022408818
2022-12-21,0.016947053
2022-12-22,-0.011785867
2022-12-23,0.0063215755
2022-12-27,-0.0040445817
2022-12-28,-0.009842592
2022-12-29,0.014191309
2022-12-30,-0.003476441
2023-01-03,0.0014330545
2023-01-04,0.0020054274
2023-01-05,-0.012960353
2023-01-06,0.01956931
2023-01-09,-0.0031989934
2023-01-10,0.0036732163
2023-01-11,0.011433481
2023-01-12,0.006139434
2023-01-13,0.005906654
2023-01-17,-0.0070943097
2023-01-18,-0.016341066
2023-01-19,-0.008922828
2023-01-20,0.014675181
2023-01-23,0.0061372863
2023-01-24,0.0032998556
2023-01-25,0.00023942102
2023-01-26,0.0017714938
2023-01-27,0.0027956965
2023-01-30,-0.009101853
