,AAPL,MSFT,JPM,XOM,JNJ,NVDA,ORCL,GOOGL,VZ,DIS,AMZN,HD,MCD,NKE,PG,KO,WMT,UNH,PFE,MRK,BAC,GS,CAT,HON,UPS,CVX,SHW,NEE,AMT,EWJ,CASH
2022-01-04,0.019273277,0.02863824,0.029835584,0.04824444,0.028462533,0.03582536,0.035385907,0.028402308,0.02375059,0.011704235,0.042190187,0.029964926,0.03700921,0.053649142,0.03734872,0.022470383,0.046597973,0.028223304,0.040704183,0.02209209,0.012886374,0.027232407,0.060564216,0.02242044,0.052713964,0.0250955,0.051228974,0.018887931,0.020844232,0.028910289,0.029443085
2022-01-05,0.024866479,0.032942448,0.03125168,0.033348758,0.023659756,0.043357976,0.034620017,0.030924385,0.03375668,0.013514821,0.025896424,0.018641861,0.060924906,0.06666667,0.051850982,0.02030162,0.039399143,0.022678217,0.04130404,0.025543394,0.024258751,0.026305377,0.043327026,0.020153845,0.06646475,0.018772934,0.038077176,0.017808823,0.020678405,0.023089664,0.025612993
2022-01-06,0.02773509,0.027331,0.03676041,0.040546264,0.019329222,0.04306196,0.02956857,0.041752905,0.02900397,0.01372825,0.027626516,0.022454146,0.062035788,0.06666667,0.043467075,0.036509257,0.034726143,0.028014468,0.044969164,0.025393702,0.023154542,0.018935477,0.03820386,0.023439832,0.06107242,0.019942941,0.03837138,0.013437014,0.019296914,0.022605443,0.020859603
2022-01-07,0.029989569,0.02185863,0.047508027,0.03712966,0.017443992,0.047559034,0.030074144,0.05013923,0.027577197,0.012047978,0.026114646,0.019220054,0.058470245,0.06666667,0.04398968,0.046742696,0.03276129,0.024900654,0.04417044,0.029761704,0.031875502,0.01862468,0.030978026,0.027181484,0.06321869,0.019605152,0.029780967,0.009022834,0.018780367,0.016274361,0.020532394
2022-01-10,0.034092445,0.018147472,0.050373644,0.04570283,0.016558355,0.05415475,0.030527491,0.04481321,0.025976818,0.0124682635,0.030236838,0.022192644,0.044112217,0.06666667,0.03925889,0.053401876,0.038236126,0.026683941,0.03744608,0.02732213,0.03164098,0.020167572,0.028124668,0.026280679,0.060132753,0.019530186,0.03019605,0.00985309,0.020077417,0.014696224,0.020927694
2022-01-11,0.038117986,0.019762985,0.057278562,0.04510059,0.016861683,0.048055675,0.031132119,0.04147119,0.02480071,0.01042554,0.03240247,0.026429577,0.038550533,0.06441411,0.033972923,0.061449498,0.039980665,0.024481207,0.034854945,0.028109057,0.03177381,0.025233757,0.029610893,0.026650012,0.051759914,0.02059676,0.030382363,0.011466901,0.019747002,0.014873228,0.02025335
2022-01-12,0.040669803,0.017872173,0.057268657,0.038982883,0.020847369,0.057984363,0.032941185,0.036445584,0.025865922,0.012186512,0.027971646,0.028649667,0.03836873,0.05485599,0.03321576,0.06469894,0.042691562,0.023997271,0.030318405,0.032246828,0.032917123,0.027649315,0.021251652,0.02887644,0.049177516,0.01876648,0.031766776,0.0136740655,0.022073645,0.013744425,0.0220233
2022-01-13,0.03491218,0.01840865,0.05024168,0.036381822,0.026308732,0.06666667,0.03199122,0.030206488,0.032887705,0.015759278,0.02539371,0.022261186,0.043486178,0.054219097,0.035227425,0.056763783,0.03911634,0.022335533,0.027926771,0.037034355,0.04008724,0.027211545,0.018378014,0.026289647,0.053503454,0.017355189,0.03405601,0.017242061,0.02401832,0.01334986,0.020979857
2022-01-14,0.030875728,0.019845927,0.05432296,0.04371134,0.026924083,0.06666667,0.029438073,0.034605656,0.037037127,0.018744996,0.029611155,0.017246788,0.03574355,0.0483044,0.03839699,0.050375406,0.04467581,0.02353688,0.028546637,0.035492077,0.04131841,0.020549871,0.020399928,0.021425115,0.055097926,0.0187507,0.038350616,0.01575274,0.019370588,0.015292179,0.019589683
2022-01-18,0.02111033,0.017455982,0.046537,0.051207375,0.031906348,0.06666667,0.02873116,0.0275614,0.037461724,0.018003998,0.032049097,0.016086841,0.037142262,0.043725334,0.038819313,0.056535017,0.052273832,0.019294756,0.026687711,0.036274713,0.04003441,0.023099743,0.023383262,0.018463705,0.053709205,0.022742802,0.040174372,0.018317945,0.022820087,0.012659468,0.019064145
2022-01-19,0.014283372,0.018583616,0.0348109,0.06666667,0.02901613,0.06666667,0.024905268,0.021454647,0.039696086,0.01733154,0.043076552,0.015885826,0.039035223,0.037857685,0.036717158,0.060932305,0.061440945,0.018358462,0.018508801,0.03956582,0.045100898,0.022461664,0.023889702,0.014526391,0.045639962,0.028016837,0.040426508,0.018159531,0.023696396,0.01526905,0.018019391
2022-01-20,0.013031758,0.018816847,0.034164056,0.06666667,0.024894662,0.06666667,0.02347707,0.024743807,0.035153642,0.015353348,0.05775043,0.01600361,0.034082044,0.03974779,0.04998976,0.061299466,0.06666667,0.01498188,0.022971299,0.0308071,0.033422925,0.016422415,0.028570877,0.01073454,0.044259436,0.031786572,0.04418852,0.015507224,0.024517491,0.015122082,0.018199341
2022-01-21,0.011663836,0.019269874,0.028093139,0.06666667,0.020682672,0.06666667,0.021319484,0.023011029,0.034856174,0.015933653,0.06666667,0.01975217,0.03141003,0.03800411,0.04878759,0.06666667,0.06666667,0.015631493,0.020338375,0.027615491,0.033771016,0.017138446,0.030145677,0.010157804,0.036678173,0.038786173,0.043432962,0.016160471,0.027936624,0.018427692,0.017662507
2022-01-24,0.0092264945,0.018891733,0.023013387,0.06666667,0.017520018,0.06666667,0.019638289,0.022813432,0.034442257,0.016805355,0.06666667,0.019629741,0.02788674,0.039386675,0.044487588,0.06322848,0.06666667,0.017126039,0.019840099,0.02436672,0.03632634,0.017748808,0.04169362,0.009694657,0.03375227,0.051517315,0.039914433,0.015838396,0.029772377,0.021165363,0.017606704
2022-01-25,0.008322156,0.016578196,0.021271454,0.058979437,0.016296558,0.06666667,0.019985829,0.022634523,0.043164775,0.021904632,0.06666667,0.018447146,0.030925425,0.042675246,0.047246262,0.05017831,0.06666667,0.018160721,0.018540895,0.024487112,0.042420607,0.019518008,0.040067036,0.009933065,0.034101743,0.04843521,0.03491018,0.015960235,0.03289459,0.022148594,0.01981206
2022-01-26,0.008226048,0.012510261,0.021670192,0.05940903,0.015763614,0.06666667,0.019370792,0.023231348,0.0436994,0.022767222,0.06666667,0.021168381,0.019518204,0.039496064,0.039872847,0.056420196,0.06666667,0.021055328,0.014715614,0.024277193,0.054531585,0.023299513,0.032677818,0.011526316,0.031785965,0.048236668,0.0357839,0.016582936,0.03936645,0.026190966,0.016846145
2022-01-27,0.007020877,0.010069829,0.026986975,0.04364509,0.019629797,0.06666667,0.02025413,0.029218186,0.040938813,0.018953191,0.065398075,0.026516434,0.020804638,0.041994285,0.034868095,0.06383083,0.06393371,0.023491053,0.01937616,0.026550006,0.048406567,0.02481526,0.030375754,0.016962286,0.031290665,0.046972115,0.03549057,0.0120579675,0.042480692,0.02555645,0.015444834
