,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.02799876,0.09691083,0.10977154,0.04205593,0.15359864,0.5696643
2022-01-05,0.06629117,0.19235867,0.13008308,0.031351864,0.3468499,0.23306532
2022-01-06,0.060135968,0.3275557,0.08090638,0.043776006,0.4,0.08762596
2022-01-07,0.06953214,0.4,0.04913187,0.043711357,0.4,0.03762463
2022-01-10,0.048648946,0.4,0.055612165,0.06283911,0.4,0.03289978
2022-01-11,0.057520542,0.4,0.047053576,0.07134822,0.4,0.024077663
2022-01-12,0.08788346,0.4,0.044796124,0.04203337,0.4,0.02528705
2022-01-13,0.101881884,0.4,0.029587036,0.04552975,0.4,0.023001332
2022-01-14,0.10503219,0.4,0.024248635,0.051536992,0.4,0.019182187
2022-01-18,0.11129048,0.4,0.020560365,0.041712105,0.4,0.026437053
2022-01-19,0.11714119,0.4,0.018811764,0.03397797,0.4,0.030069081
2022-01-20,0.1069909,0.4,0.022362903,0.03959718,0.4,0.031049017
2022-01-21,0.11659457,0.4,0.021002473,0.03314923,0.4,0.029253727
2022-01-24,0.09158808,0.4,0.025151348,0.041333362,0.4,0.04192721
2022-01-25,0.116739914,0.4,0.018803993,0.029111303,0.4,0.035344787
2022-01-26,0.108709276,0.4,0.02511027,0.037042793,0.4,0.029137658
2022-01-27,0.10405101,0.4,0.02887398,0.03782968,0.4,0.029245332
2022-01-28,0.099330924,0.4,0.03392956,0.03557908,0.4,0.031160433
2022-01-31,0.08895114,0.4,0.032733686,0.04772492,0.4,0.030590247
2022-02-01,0.09104553,0.4,0.031075137,0.049337737,0.4,0.0285416
2022-02-02,0.07551004,0.4,0.032489456,0.06543053,0.4,0.02656998
2022-02-03,0.10350639,0.4,0.026083808,0.04315994,0.4,0.027249869
2022-02-04,0.1117715,0.4,0.023329128,0.034983993,0.4,0.029915376
2022-02-07,0.12665501,0.4,0.020836761,0.024562031,0.4,0.027946202
2022-02-08,0.090021364,0.4,0.028237553,0.028683646,0.4,0.05305744
2022-02-09,0.12190257,0.4,0.020566966,0.02798372,0.4,0.029546743
2022-02-10,0.1339014,0.4,0.01648875,0.022423897,0.4,0.027185952
2022-02-11,0.13260563,0.4,0.014920926,0.017194053,0.4,0.035279393
2022-02-14,0.20532006,0.32812977,0.018164273,0.016506622,0.4,0.03187927
2022-02-15,0.3307802,0.25868773,0.020487873,0.012026951,0.33523962,0.042777613
2022-02-16,0.4,0.24546099,0.02180298,0.01407903,0.2807944,0.037862588
2022-02-17,0.4,0.28868997,0.031099014,0.016520845,0.23163414,0.032056026
2022-02-18,0.4,0.3036241,0.034216188,0.016601568,0.20209844,0.043459706
2022-02-22,0.4,0.3484551,0.038482107,0.018590186,0.16231816,0.03215446
2022-02-23,0.4,0.3675644,0.042547442,0.019300561,0.14454466,0.026042923
2022-02-24,0.4,0.39437622,0.04287609,0.019462647,0.113253385,0.030031668
2022-02-25,0.4,0.39172137,0.042447623,0.017965706,0.10463458,0.043230716
2022-02-28,0.4,0.4,0.0249761,0.0152582,0.13513424,0.024631469
2022-03-01,0.36275125,0.4,0.026904048,0.014997194,0.15443748,0.04091003
2022-03-02,0.39912474,0.4,0.027148206,0.018037712,0.13084672,0.024842625
2022-03-03,0.3163251,0.4,0.032527164,0.020226909,0.19358933,0.037331507
2022-03-04,0.20904551,0.4,0.03125343,0.021794574,0.30089933,0.03700715
2022-03-07,0.11304117,0.4,0.033278376,0.018945456,0.3830142,0.051720805
2022-03-08,0.063220344,0.4,0.04662747,0.035690125,0.4,0.054462064
2022-03-09,0.055580724,0.4,0.030249795,0.018249976,0.4,0.095919505
2022-03-10,0.059890702,0.4,0.041207083,0.04685869,0.4,0.052043524
2022-03-11,0.06299518,0.4,0.04492521,0.039108608,0.4,0.052970998
2022-03-14,0.07041526,0.4,0.041775033,0.036895193,0.4,0.050914515
2022-03-15,0.07345063,0.4,0.040966008,0.044868592,0.4,0.04071477
2022-03-16,0.07565597,0.4,0.044760104,0.045638565,0.4,0.033945363
2022-03-17,0.08158152,0.4,0.040492024,0.047441956,0.4,0.030484501
2022-03-18,0.06790095,0.4,0.030192873,0.07421626,0.4,0.027689915
2022-03-21,0.10962997,0.4,0.026005024,0.038164202,0.4,0.026200807
2022-03-22,0.115743995,0.4,0.02320905,0.03124086,0.4,0.029806094
2022-03-23,0.1686389,0.4,0.0136117125,0.013275278,0.37340838,0.03106572
2022-03-24,0.23873024,0.4,0.017721204,0.01001013,0.29750285,0.03603558
2022-03-25,0.4,0.4,0.020784115,0.01789141,0.14289173,0.018432746
2022-03-28,0.4,0.4,0.043512106,0.023642315,0.112691805,0.020153774
2022-03-29,0.4,0.4,0.044756703,0.021201743,0.10996675,0.024074804
2022-03-30,0.4,0.4,0.040824138,0.023222324,0.11097763,0.024975915
2022-03-31,0.4,0.4,0.043764263,0.025747295,0.109437615,0.021050828
2022-04-01,0.4,0.4,0.034020353,0.049658716,0.09127627,0.025044661
2022-04-04,0.4,0.4,0.041356467,0.027205396,0.095188,0.036250137
2022-04-05,0.4,0.4,0.04520611,0.025066001,0.09354402,0.036183864
2022-04-06,0.4,0.4,0.041721195,0.02401571,0.10153269,0.032730408
2022-04-07,0.4,0.4,0.038296886,0.021528782,0.102026746,0.038147587
2022-04-08,0.4,0.4,0.04261254,0.018661747,0.09375849,0.044967216
2022-04-11,0.33646324,0.4,0.056521825,0.026205583,0.12590495,0.054904405
2022-04-12,0.3161734,0.4,0.05501121,0.027643811,0.13816023,0.063011356
2022-04-13,0.26295638,0.4,0.05309719,0.027262935,0.18094136,0.07574214
