,port_ret
2022-01-04,-0.00069326756
2022-01-05,-0.0044994336
2022-01-06,-0.0021636419
2022-01-07,0.0026419028
2022-01-10,-0.0023077813
2022-01-11,-0.00051793666
2022-01-12,0.000255652
2022-01-13,-0.021851083
2022-01-14,0.003448843
2022-01-18,-0.014669396
2022-01-19,-0.0032889517
2022-01-20,-0.0069436743
2022-01-21,-0.010923577
2022-01-24,-0.0045539266
2022-01-25,0.0010376881
2022-01-26,0.013132372
2022-01-27,0.008777011
2022-01-28,0.021371327
2022-01-31,0.008194542
2022-02-01,-0.0038105187
2022-02-02,0.01117324
2022-02-03,-0.018310545
2022-02-04,0.0050206208
2022-02-07,-0.0079559935
2022-02-08,0.008536056
2022-02-09,0.0097219255
2022-02-10,-0.0193341
2022-02-11,-0.01617679
2022-02-14,-0.006072937
2022-02-15,0.013987079
2022-02-16,-0.0005544261
2022-02-17,-0.017582802
2022-02-18,-0.009081822
2022-02-22,-0.0076553286
2022-02-23,-0.013266321
2022-02-24,0.010702943
2022-02-25,0.027424142
2022-02-28,-0.00372418
2022-03-01,-0.009347279
2022-03-02,0.015653396
2022-03-03,-9.502896e-05
2022-03-04,-0.0075857914
2022-03-07,-0.011253517
2022-03-08,-0.013706768
2022-03-09,0.023445074
2022-03-10,-0.0051842295
2022-03-11,-0.012083918
2022-03-14,-0.0031692053
2022-03-15,0.025998756
2022-03-16,0.010665025
2022-03-17,0.009061053
2022-03-18,0.0036735998
2022-03-21,0.0022403162
2022-03-22,0.0078037637
2022-03-23,-0.009196309
2022-03-24,0.010273151
2022-03-25,0.0050163367
2022-03-28,0.010029165
2022-03-29,0.007154213
2022-03-30,0.0017871112
2022-03-31,-0.01670813
2022-04-01,0.0029135898
2022-04-04,0.0052331598
2022-04-05,-0.005058227
2022-04-06,-0.005996797
2022-04-07,0.0022982103
2022-04-08,-0.0037340743
2022-04-11,-0.025198193
2022-04-12,-0.0028400123
2022-04-13,0.0101658525
2022-04-14,-0.013992467
2022-04-18,-0.0029318358
2022-04-19,0.020581396
2022-04-20,0.0034029894
2022-04-21,-0.010184822
2022-04-22,-0.01848433
2022-04-25,0.017948886
2022-04-26,-0.021419568
2022-04-27,0.014993456
2022-04-28,0.017376974
2022-04-29,-0.0285913
2022-05-02,0.007440019
2022-05-03,-0.0016123013
2022-05-04,0.022666696
2022-05-05,-0.03189616
2022-05-06,-0.0038491269
2022-05-09,-0.018485393
2022-05-10,0.0066322996
2022-05-11,-0.016998133
2022-05-12,-0.00554225
2022-05-13,0.0109379245
2022-05-16,0.0039508324
2022-05-17,0.013943058
2022-05-18,-0.03141137
2022-05-19,-0.0074493457
2022-05-20,0.0058672745
2022-05-23,0.028708419
2022-05-24,0.002444011
2022-05-25,0.0018739607
2022-05-26,0.008008077
2022-05-27,0.019108929
2022-05-31,-0.005632623
2022-06-01,-0.0046782685
2022-06-02,0.0047002044
