,port_ret
2022-01-04,0.014751647
2022-01-05,-0.008127657
2022-01-06,0.0068946765
2022-01-07,0.006162285
2022-01-10,-0.00030053948
2022-01-11,0.0016896419
2022-01-12,0.0051024863
2022-01-13,-0.01951594
2022-01-14,-0.0062216558
2022-01-18,-0.014430957
2022-01-19,-0.0028085583
2022-01-20,-0.0065691276
2022-01-21,-0.010997909
2022-01-24,-0.0040893666
2022-01-25,0.0021212678
2022-01-26,0.012908329
2022-01-27,0.008830363
2022-01-28,0.023395048
2022-01-31,0.009047185
2022-02-01,-0.0048022745
2022-02-02,0.0112202065
2022-02-03,-0.018528854
2022-02-04,0.004633362
2022-02-07,-0.008025207
2022-02-08,0.008478922
2022-02-09,0.009629952
2022-02-10,-0.019357998
2022-02-11,-0.015177338
2022-02-14,-0.0062450147
2022-02-15,0.01260833
2022-02-16,-0.00032798853
2022-02-17,-0.016101956
2022-02-18,-0.009877421
2022-02-22,-0.008162845
2022-02-23,-0.010882942
2022-02-24,0.011678161
2022-02-25,0.027712354
2022-02-28,-0.0014275549
2022-03-01,-0.008299697
2022-03-02,0.015731191
2022-03-03,-0.00011458876
2022-03-04,-0.008830043
2022-03-07,-0.013376857
2022-03-08,-0.014340299
2022-03-09,0.026173104
2022-03-10,-0.006738836
2022-03-11,-0.012595092
2022-03-14,-0.0020867453
2022-03-15,0.029559996
2022-03-16,0.011834637
2022-03-17,0.008114415
2022-03-18,0.0048896885
2022-03-21,0.0025133565
2022-03-22,0.00797417
2022-03-23,-0.0066436874
2022-03-24,0.0113446945
2022-03-25,0.0048277047
2022-03-28,0.010689168
2022-03-29,0.008164605
2022-03-30,0.0018262138
2022-03-31,-0.016010739
2022-04-01,0.003319056
2022-04-04,0.0064495998
2022-04-05,-0.00543508
2022-04-06,-0.0064602206
2022-04-07,0.0018268676
2022-04-08,-0.0055716285
2022-04-11,-0.024475256
2022-04-12,-0.0036764562
2022-04-13,0.009845718
2022-04-14,-0.01635751
2022-04-18,-0.0033265331
2022-04-19,0.020962214
2022-04-20,0.0032981185
2022-04-21,-0.010072618
2022-04-22,-0.018759774
2022-04-25,0.019763228
2022-04-26,-0.023460913
2022-04-27,0.013348372
2022-04-28,0.018508175
2022-04-29,-0.029605659
2022-05-02,0.006800756
2022-05-03,-0.0020502938
2022-05-04,0.02350844
2022-05-05,-0.0312605
2022-05-06,-0.0026527862
2022-05-09,-0.024445035
2022-05-10,0.008303289
2022-05-11,-0.015816636
2022-05-12,-0.0051204916
2022-05-13,0.011810626
2022-05-16,0.0044103498
2022-05-17,0.0138759725
2022-05-18,-0.033227824
2022-05-19,-0.007753684
2022-05-20,0.0066208015
2022-05-23,0.028101781
2022-05-24,0.0011661939
2022-05-25,0.0014532863
2022-05-26,0.0085373195
2022-05-27,0.02059063
2022-05-31,-0.0062482804
2022-06-01,-0.0036714054
2022-06-02,0.0044131996
2022-06-03,-0.011922419
2022-06-06,-0.0017205898
2022-06-07,0.0148613835
2022-06-08,-0.005734803
2022-06-09,-0.022072684
2022-06-10,-0.026841005
2022-06-13,-0.028794523
2022-06-14,-0.002123274
2022-06-15,0.015776487
2022-06-16,-0.01727994
2022-06-17,-0.0027420148
2022-06-21,0.027058434
2022-06-22,0.0010668923
2022-06-23,0.018221553
2022-06-24,0.023700444
2022-06-27,-0.004253583
2022-06-28,-0.028066438
2022-06-29,0.00679768
2022-06-30,-0.007865984
2022-07-01,0.011749692
2022-07-05,0.0033153126
2022-07-06,0.0058045085
2022-07-07,0.008454127
2022-07-08,-0.0010955546
2022-07-11,-0.0067539182
2022-07-12,-0.021911623
2022-07-13,-0.002636351
2022-07-14,0.0020746915
2022-07-15,0.012971626
2022-07-18,-0.01253885
2022-07-19,0.0071919896
2022-07-20,0.003961544
2022-07-21,0.0031535327
2022-07-22,-0.006363609
2022-07-25,0.0031652527
2022-07-26,-0.008978117
2022-07-27,0.030368872
2022-07-28,0.015231195
2022-07-29,0.013992109
2022-08-01,-0.007915311
2022-08-02,-0.008579374
2022-08-03,0.018050252
2022-08-04,-0.0077227
2022-08-05,-0.0011239704
2022-08-08,-0.0055363653
2022-08-09,0.005295356
2022-08-10,0.013508785
2022-08-11,-0.0070720734
2022-08-12,0.004471688
2022-08-15,0.0011306145
2022-08-16,0.00097255525
2022-08-17,0.00043497744
2022-08-18,8.060656e-05
2022-08-19,-0.00067337527
2022-08-22,-0.015032218
2022-08-23,-0.0025107355
2022-08-24,-0.0016346568
2022-08-25,0.010657061
2022-08-26,-0.027419817
2022-08-29,-0.007250502
2022-08-30,-0.008326015
2022-08-31,-0.0064857276
2022-09-01,0.007269912
2022-09-02,-0.013210761
2022-09-06,-0.0043063993
2022-09-07,0.011188056
2022-09-08,0.004777393
2022-09-09,0.012182131
2022-09-12,0.0074445307
2022-09-13,-0.04087699
2022-09-14,0.010162895
2022-09-15,-0.011739171
2022-09-16,0.003171801
2022-09-19,0.0002223541
2022-09-20,-0.007864261
2022-09-21,-0.015451335
2022-09-22,0.0075539215
2022-09-23,-0.007626622
2022-09-26,-0.0045875213
2022-09-27,-0.0024751814
2022-09-28,0.011185578
2022-09-29,-0.0166805
2022-09-30,-0.015049803
2022-10-03,0.01906765
2022-10-04,0.025252324
2022-10-05,0.0008836079
2022-10-06,-0.012233074
2022-10-07,-0.030114295
2022-10-10,-0.00916418
2022-10-11,-0.0033162266
2022-10-12,0.0008365148
2022-10-13,0.028485931
2022-10-14,-0.01487354
2022-10-17,0.02664997
2022-10-18,0.0027540112
2022-10-19,-0.006741092
2022-10-20,-2.859997e-05
2022-10-21,0.025522249
2022-10-24,0.015574243
2022-10-25,0.006778066
2022-10-26,-0.028062377
2022-10-27,-0.009681529
2022-10-28,0.02828629
2022-10-31,-0.009691565
2022-11-01,-0.007975986
2022-11-02,-0.023991598
2022-11-03,-0.011461955
2022-11-04,0.018137403
2022-11-07,0.016440358
2022-11-08,0.0041587567
2022-11-09,-0.015932616
2022-11-10,0.048073005
2022-11-11,-0.0013370351
2022-11-14,-0.003407705
2022-11-15,0.0031560864
2022-11-16,0.0015631409
2022-11-17,0.0042240643
2022-11-18,0.0021780224
2022-11-21,0.0005856285
2022-11-22,0.010364799
2022-11-23,0.0054886895
2022-11-25,-0.0015429673
2022-11-28,-0.0137295555
2022-11-29,-0.005800046
2022-11-30,0.03393134
2022-12-01,0.00012938306
2022-12-02,-0.0002598594
2022-12-05,-0.010896401
2022-12-06,-0.018003091
2022-12-07,-0.0003006333
2022-12-08,0.00680925
2022-12-09,-0.0076390854
2022-12-12,0.0200962
2022-12-13,0.011572847
2022-12-14,-0.0003654909
2022-12-15,-0.023826797
2022-12-16,-0.0130891325
2022-12-19,-0.008009965
2022-12-20,0.0045683812
2022-12-21,0.01160132
2022-12-22,-0.015539206
2022-12-23,0.005312247
2022-12-27,-0.0020692071
2022-12-28,-0.009345324
2022-12-29,0.01555798
2022-12-30,-0.0026099165
2023-01-03,-0.0026587066
2023-01-04,-0.0120560685
2023-01-05,-0.013615633
2023-01-06,0.013499931
2023-01-09,-0.005281487
2023-01-10,0.005789903
2023-01-11,0.015502492
2023-01-12,0.008705309
2023-01-13,0.0007017162
2023-01-17,3.0155968e-05
2023-01-18,-0.018718801
2023-01-19,-0.0043761577
2023-01-20,0.021300819
2023-01-23,0.0017937826
2023-01-24,0.0029953115
2023-01-25,-0.0031007333
2023-01-26,0.025785787
2023-01-27,-0.005090305
2023-01-30,-0.027136877
2023-01-31,0.015719151
2023-02-01,0.010001339
2023-02-02,0.016475385
2023-02-03,-0.00974612
2023-02-06,-0.0062006474
2023-02-07,0.022042884
2023-02-08,-0.002649528
2023-02-09,-0.009937056
2023-02-10,0.0073374216
2023-02-13,0.014358391
2023-02-14,-0.0021516012
2023-02-15,-0.009524902
