,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.0236437,0.072070554,0.078558765,0.4,0.24260329,0.1831237
2022-01-05,0.03167673,0.08426878,0.076195195,0.34701213,0.4,0.060847178
2022-01-06,0.031713933,0.10581629,0.072030745,0.3496147,0.4,0.040824324
2022-01-07,0.040968724,0.13110605,0.07621033,0.3130772,0.4,0.038637687
2022-01-10,0.053380348,0.14578423,0.081138454,0.2877925,0.4,0.031904455
2022-01-11,0.06293566,0.15934019,0.08967082,0.25980636,0.4,0.02824696
2022-01-12,0.06684872,0.1433677,0.11806994,0.24354526,0.4,0.028168378
2022-01-13,0.07263628,0.123349994,0.17709967,0.1984855,0.4,0.028428562
2022-01-14,0.08716342,0.11008881,0.2140363,0.16158243,0.4,0.027129052
2022-01-18,0.03411861,0.101456165,0.28508657,0.14570652,0.4,0.033632137
2022-01-19,0.020467866,0.07999544,0.36911348,0.09570229,0.4,0.03472094
2022-01-20,0.021646334,0.07974299,0.4,0.07196923,0.4,0.02664144
2022-01-21,0.024034766,0.086880244,0.4,0.06330371,0.4,0.025781276
2022-01-24,0.02129407,0.093327776,0.4,0.055320732,0.4,0.030057421
2022-01-25,0.020887122,0.09891211,0.4,0.047560804,0.4,0.032639965
2022-01-26,0.0286888,0.08995112,0.4,0.05100605,0.4,0.030354034
2022-01-27,0.030569874,0.09356708,0.4,0.048680544,0.4,0.027182503
2022-01-28,0.027080322,0.09463248,0.4,0.05216858,0.4,0.02611862
2022-01-31,0.020174481,0.082412496,0.4,0.07403701,0.4,0.023376016
2022-02-01,0.022743259,0.06463933,0.4,0.091687635,0.4,0.020929784
2022-02-02,0.027954478,0.050758447,0.4,0.102649584,0.4,0.018637493
2022-02-03,0.023472035,0.04736828,0.4,0.11194106,0.4,0.017218625
2022-02-04,0.022694407,0.046077173,0.4,0.11084349,0.4,0.020384936
2022-02-07,0.03252396,0.047261983,0.4,0.10244931,0.4,0.017764747
2022-02-08,0.035881706,0.043642797,0.4,0.10199227,0.4,0.018483222
2022-02-09,0.03944593,0.041719824,0.4,0.101699896,0.4,0.017134348
2022-02-10,0.04064655,0.0440912,0.4,0.09904903,0.4,0.016213225
2022-02-11,0.04328255,0.048286907,0.4,0.089541614,0.4,0.01888893
2022-02-14,0.03949986,0.04939813,0.4,0.08846285,0.4,0.022639155
2022-02-15,0.03364729,0.05864084,0.4,0.0807491,0.4,0.02696276
2022-02-16,0.038653728,0.06186568,0.4,0.074569546,0.4,0.024911046
2022-02-17,0.044494893,0.059437614,0.4,0.071373366,0.4,0.024694124
2022-02-18,0.04023364,0.05850945,0.4,0.07098116,0.4,0.030275755
2022-02-22,0.046433564,0.06054717,0.4,0.060693227,0.4,0.03232604
2022-02-23,0.056955576,0.07046352,0.3848278,0.053189237,0.4,0.03456386
2022-02-24,0.076365225,0.09903835,0.32338822,0.064894855,0.4,0.03631335
2022-02-25,0.06259349,0.12913762,0.30701646,0.061451823,0.4,0.039800614
2022-02-28,0.09292392,0.11878581,0.29670894,0.06745826,0.4,0.024123073
2022-03-01,0.06984055,0.0959273,0.33718732,0.069715016,0.4,0.02732981
2022-03-02,0.04119814,0.07164669,0.3983034,0.059605207,0.4,0.029246595
2022-03-03,0.034912214,0.07993376,0.4,0.06262606,0.4,0.022527965
2022-03-04,0.027805831,0.08171342,0.4,0.06768167,0.4,0.022799077
2022-03-07,0.02047492,0.079988636,0.4,0.07698855,0.4,0.022547899
2022-03-08,0.015479812,0.07464811,0.4,0.08285121,0.4,0.027020868
2022-03-09,0.01356202,0.078635044,0.4,0.07845067,0.4,0.02935226
2022-03-10,0.015696252,0.08762476,0.4,0.07129233,0.4,0.025386654
2022-03-11,0.017345782,0.0873837,0.4,0.06971522,0.4,0.025555296
2022-03-14,0.016646309,0.08872259,0.4,0.067412145,0.4,0.02721896
2022-03-15,0.020535208,0.095334426,0.4,0.057597116,0.4,0.026533252
2022-03-16,0.026838388,0.0976426,0.39074668,0.06413802,0.4,0.020634303
2022-03-17,0.03884843,0.08336071,0.39924943,0.06096301,0.4,0.01757842
2022-03-18,0.048639875,0.06594973,0.4,0.07040912,0.4,0.015001279
2022-03-21,0.044704292,0.059852652,0.4,0.078277566,0.4,0.017165488
2022-03-22,0.04039868,0.050071623,0.4,0.09055968,0.4,0.018970024
2022-03-23,0.040468447,0.046310768,0.4,0.092966944,0.4,0.02025384
2022-03-24,0.02964767,0.039543513,0.4,0.10781616,0.4,0.022992654
2022-03-25,0.027472408,0.03759968,0.4,0.113256566,0.4,0.021671347
2022-03-28,0.027864965,0.035681408,0.4,0.11514221,0.4,0.021311417
2022-03-29,0.025195139,0.038978025,0.4,0.116044454,0.4,0.01978238
2022-03-30,0.02534313,0.04146218,0.4,0.114219695,0.4,0.018974995
2022-03-31,0.026914174,0.04127127,0.4,0.11394194,0.4,0.017872617
2022-04-01,0.023004822,0.044312928,0.4,0.11239713,0.4,0.020285124
2022-04-04,0.023802958,0.049388517,0.4,0.10760457,0.4,0.019203952
2022-04-05,0.023834802,0.057831828,0.4,0.098066635,0.4,0.02026673
2022-04-06,0.026545063,0.061561413,0.4,0.0908327,0.4,0.021060824
2022-04-07,0.026192572,0.06207479,0.4,0.08966652,0.4,0.022066107
2022-04-08,0.023385191,0.06693527,0.4,0.08597228,0.4,0.023707256
2022-04-11,0.030559832,0.06664301,0.4,0.07998932,0.4,0.022807835
2022-04-12,0.031124357,0.07381335,0.39316514,0.07187723,0.4,0.030019907
2022-04-13,0.028526634,0.096494384,0.35866657,0.08106905,0.4,0.03524337
2022-04-14,0.018624147,0.111527,0.34395513,0.08616912,0.4,0.039724614
2022-04-18,0.018132828,0.13056149,0.33118495,0.07856873,0.4,0.041551996
2022-04-19,0.018173227,0.12784694,0.3558962,0.059203282,0.4,0.03888035
2022-04-20,0.018370707,0.11118279,0.38812816,0.050478864,0.4,0.031839475
2022-04-21,0.01927313,0.10207966,0.4,0.05140121,0.4,0.027245997
2022-04-22,0.018825438,0.10142575,0.4,0.050369937,0.4,0.02937887
2022-04-25,0.020863473,0.123602115,0.3669148,0.054245844,0.4,0.034373756
2022-04-26,0.03408001,0.18092236,0.28218445,0.07219628,0.4,0.030616902
2022-04-27,0.049277183,0.2747342,0.14973353,0.09078412,0.4,0.03547097
2022-04-28,0.0421292,0.3558122,0.08854114,0.071934745,0.4,0.041582704
2022-04-29,0.033565212,0.38649133,0.07486223,0.06377799,0.4,0.041303243
2022-05-02,0.0285404,0.4,0.061406914,0.05831749,0.4,0.051735196
2022-05-03,0.027632594,0.4,0.07167256,0.049735352,0.4,0.050959498
