,port_ret
2022-01-04,0.0055119125
2022-01-05,-0.00020200369
2022-01-06,0.0068548275
2022-01-07,0.006754524
2022-01-10,-0.0037574244
2022-01-11,0.016574973
2022-01-12,-0.0025528749
2022-01-13,-0.01036425
2022-01-14,0.005974561
2022-01-18,-0.0021858301
2022-01-19,-0.008751161
2022-01-20,-0.004394263
2022-01-21,-0.011808427
2022-01-24,9.0101064e-05
2022-01-25,0.009939057
2022-01-26,-0.0029307907
2022-01-27,0.0067401533
2022-01-28,0.016564092
2022-01-31,0.007485632
2022-02-01,0.022474552
2022-02-02,0.004325658
2022-02-03,-0.007802235
2022-02-04,0.0070148893
2022-02-07,0.00096352864
2022-02-08,-0.0014938128
2022-02-09,0.0018564387
2022-02-10,-0.014952378
2022-02-11,-0.009316915
2022-02-14,-0.0066535966
2022-02-15,0.011250784
2022-02-16,0.00031944664
2022-02-17,-0.011528274
2022-02-18,-0.009485308
2022-02-22,-0.013250764
2022-02-23,-0.010340613
2022-02-24,-0.00064328336
2022-02-25,0.021541597
2022-02-28,0.00064430083
2022-03-01,-0.0023816775
2022-03-02,0.016295118
2022-03-03,0.0060508726
2022-03-04,0.014287963
2022-03-07,0.016517326
2022-03-08,-0.0063158837
2022-03-09,-0.017506963
2022-03-10,0.011029607
2022-03-11,-0.0056886747
2022-03-14,-0.010509703
2022-03-15,-0.008275381
2022-03-16,4.7934365e-05
2022-03-17,0.017115442
2022-03-18,-0.0038679405
2022-03-21,0.02073994
2022-03-22,-2.754324e-05
2022-03-23,0.005853386
2022-03-24,0.0098405965
2022-03-25,0.010842999
2022-03-28,-0.006917164
2022-03-29,0.006093172
2022-03-30,0.00420934
2022-03-31,-0.015382554
2022-04-01,0.0023338515
2022-04-04,0.008699937
2022-04-05,-0.009267554
2022-04-06,-0.00063435873
2022-04-07,0.0068335733
2022-04-08,0.0054225926
2022-04-11,-0.023535024
2022-04-12,0.0103459675
2022-04-13,0.009403918
2022-04-14,-0.004267207
2022-04-18,0.001179646
2022-04-19,0.007897568
2022-04-20,0.0022403183
2022-04-21,-0.0067475494
2022-04-22,-0.016652288
2022-04-25,-0.0023647645
2022-04-26,-0.008444497
2022-04-27,0.0068388763
2022-04-28,0.019677816
2022-04-29,-0.021120459
2022-05-02,0.0025902903
2022-05-03,0.00906764
2022-05-04,0.028066587
2022-05-05,-0.025541753
2022-05-06,0.0068373946
2022-05-09,-0.044912763
2022-05-10,0.008456768
2022-05-11,-0.01378737
2022-05-12,-0.008410041
2022-05-13,0.024788894
2022-05-16,0.005482678
2022-05-17,0.017064724
2022-05-18,-0.03197512
2022-05-19,-0.009308827
2022-05-20,0.005574024
2022-05-23,0.029518317
2022-05-24,-0.0038447254
2022-05-25,0.007657582
2022-05-26,0.011278559
2022-05-27,0.022019712
2022-05-31,-0.009624921
2022-06-01,0.0055316696
2022-06-02,0.006007792
2022-06-03,-0.010972515
2022-06-06,0.0008994048
2022-06-07,0.027172124
2022-06-08,0.00038391663
2022-06-09,-0.026447259
2022-06-10,-0.02415867
2022-06-13,-0.0319286
2022-06-14,0.001094
2022-06-15,0.0050707217
2022-06-16,-0.03173417
2022-06-17,-0.018755855
2022-06-21,0.041611526
2022-06-22,-0.016028805
2022-06-23,-0.0007881618
2022-06-24,0.020224625
2022-06-27,0.0089010745
2022-06-28,-0.00404901
2022-06-29,-0.011855774
2022-06-30,-0.017080229
2022-07-01,0.016420139
2022-07-05,-0.0067182356
2022-07-06,-0.0034437487
