,AAPL,JNJ,JPM,MSFT,XOM,CASH
2022-01-04,0.039624687,0.06379636,0.1026495,0.016702859,0.08497877,0.6922478
2022-01-05,0.0780838,0.11757436,0.0600558,0.024399757,0.3021959,0.41769037
2022-01-06,0.1252765,0.16125123,0.06855325,0.029582607,0.4,0.21533641
2022-01-07,0.20233962,0.22124514,0.057045892,0.03675541,0.4,0.08261394
2022-01-10,0.18411845,0.2751399,0.046096116,0.031804886,0.4,0.062840655
2022-01-11,0.1635387,0.28945592,0.04925499,0.03308671,0.4,0.06466367
2022-01-12,0.18103926,0.27989316,0.04129744,0.033419654,0.4,0.06435047
2022-01-13,0.23238792,0.25985104,0.0274484,0.032202933,0.4,0.04810972
2022-01-14,0.2769456,0.22204399,0.027380167,0.029532693,0.4,0.044097565
2022-01-18,0.35765952,0.14727668,0.020360043,0.019518478,0.4,0.05518528
2022-01-19,0.39049923,0.11448327,0.018649045,0.014073307,0.4,0.06229515
2022-01-20,0.3857169,0.12751696,0.017165307,0.015279544,0.4,0.054321326
2022-01-21,0.38034138,0.1139349,0.022857403,0.013280404,0.4,0.06958591
2022-01-24,0.38371235,0.12538701,0.019460881,0.015084145,0.4,0.056355618
2022-01-25,0.4,0.10018516,0.022886563,0.01206146,0.4,0.06486681
2022-01-26,0.32459483,0.16533494,0.02747078,0.016077086,0.4,0.06652236
2022-01-27,0.27348518,0.21785311,0.029913235,0.019837653,0.4,0.05891081
2022-01-28,0.18552667,0.29609847,0.03354905,0.019905737,0.4,0.06492008
2022-01-31,0.093792655,0.4,0.021701895,0.021689799,0.4,0.06281565
2022-02-01,0.08128075,0.4,0.028427184,0.036356896,0.4,0.053935166
2022-02-02,0.09490858,0.4,0.021730077,0.032914612,0.4,0.050446726
2022-02-03,0.09712258,0.4,0.023254829,0.033741735,0.39784423,0.04803662
2022-02-04,0.09633235,0.4,0.022150153,0.035044648,0.4,0.04647285
2022-02-07,0.15560661,0.4,0.04339463,0.040774364,0.30507654,0.055147838
2022-02-08,0.20211509,0.4,0.030760597,0.037351403,0.27877378,0.05099914
2022-02-09,0.25367433,0.4,0.02994086,0.041234143,0.2348575,0.04029317
2022-02-10,0.293107,0.4,0.019996395,0.03262763,0.22046933,0.033799645
2022-02-11,0.4,0.3868595,0.019952055,0.019605314,0.14415567,0.029427469
2022-02-14,0.4,0.375733,0.041994553,0.02037842,0.13351524,0.028378785
2022-02-15,0.4,0.32668462,0.041857254,0.020557692,0.18163767,0.029262757
2022-02-16,0.4,0.2658447,0.03533171,0.01852414,0.24686216,0.0334373
2022-02-17,0.4,0.18229961,0.032706857,0.016039629,0.33219528,0.03675861
2022-02-18,0.4,0.109355494,0.033653527,0.013216285,0.4,0.043774694
2022-02-22,0.4,0.099736646,0.04190428,0.018966803,0.4,0.039392266
2022-02-23,0.4,0.08971364,0.053596,0.019765496,0.4,0.03692486
2022-02-24,0.4,0.085429735,0.055138,0.01821423,0.4,0.041218035
2022-02-25,0.4,0.08235481,0.05762947,0.016796505,0.4,0.04321922
2022-02-28,0.37019035,0.13109945,0.042788975,0.013065995,0.4,0.04285523
2022-03-01,0.338888,0.15726161,0.03894828,0.01399299,0.4,0.050909128
2022-03-02,0.29164723,0.19433881,0.04059151,0.01450485,0.4,0.058917593
2022-03-03,0.18544869,0.31145847,0.030195715,0.016674293,0.4,0.056222852
2022-03-04,0.09197857,0.4,0.030345004,0.020012692,0.4,0.05766373
2022-03-07,0.069764204,0.4,0.037405446,0.031320628,0.4,0.06150972
2022-03-08,0.050113298,0.4,0.038908385,0.030211553,0.4,0.08076677
2022-03-09,0.044749066,0.4,0.030684933,0.021245584,0.4,0.10332042
2022-03-10,0.050129335,0.39847568,0.0368844,0.024168761,0.4,0.09034182
2022-03-11,0.06705425,0.4,0.03533718,0.02321131,0.4,0.074397266
2022-03-14,0.0673862,0.4,0.036897868,0.02210609,0.4,0.07360984
2022-03-15,0.07262361,0.4,0.04291124,0.032794256,0.4,0.051670894
2022-03-16,0.064920925,0.4,0.053020146,0.041547738,0.4,0.040511195
2022-03-17,0.07023029,0.4,0.055016257,0.035172492,0.4,0.039580964
2022-03-18,0.07620547,0.4,0.05378795,0.032766655,0.4,0.03723992
2022-03-21,0.094759926,0.4,0.041697722,0.025596967,0.4,0.037945382
2022-03-22,0.12708025,0.38403738,0.029646168,0.020361966,0.4,0.038874235
2022-03-23,0.20993982,0.29709178,0.03068425,0.018186858,0.4,0.04409728
2022-03-24,0.33479324,0.17898811,0.024003347,0.014406056,0.4,0.047809247
2022-03-25,0.4,0.14565769,0.035543114,0.014772245,0.3577343,0.046292666
2022-03-28,0.4,0.15687883,0.03909568,0.015676536,0.34842148,0.03992747
2022-03-29,0.4,0.17508012,0.037928727,0.016657934,0.33396623,0.036367
2022-03-30,0.4,0.20053738,0.044596348,0.017932916,0.3004001,0.036533233
2022-03-31,0.4,0.16572353,0.01674773,0.013600513,0.36721244,0.036715794
2022-04-01,0.4,0.13282348,0.025061617,0.0130220065,0.3908149,0.038277987
